ticker,category,quick_thesis,macro_tag,manual_catalyst,priority,active
SOFI,Open Positions,,,,High,True
APLD,Open Positions,,,,High,True
MU,Open Positions,,,,High,True
NASA,Open Positions,,,,High,True
SHOP,Open Positions,,,,High,True
GOOGL,Open Positions,,,,High,True
META,Open Positions,,,,High,True
SPCX,Weekly Watchlist / High-Priority Movers,,,,Medium,True
MRVL,Weekly Watchlist / High-Priority Movers,AI networking + custom silicon,AI capex,Earnings / AI data-center commentary,High,True
YOU,Weekly Watchlist / High-Priority Movers,,,,Medium,True
INTC,Weekly Watchlist / High-Priority Movers,,,,Medium,True
LUV,Weekly Watchlist / High-Priority Movers,,,,Medium,True
IONQ,Weekly Watchlist / High-Priority Movers,,,,Medium,True
RKLB,Weekly Watchlist / High-Priority Movers,Launch + space infrastructure,Risk-on space,Launch / index / contract news,High,True
DAL,Weekly Watchlist / High-Priority Movers,Airline demand + oil sensitivity,Oil-sensitive,Oil prices / travel demand,Medium,True
UAL,Weekly Watchlist / High-Priority Movers,,,,Medium,True
NFLX,Weekly Watchlist / High-Priority Movers,,,,Medium,True
RDW,Weekly Watchlist / High-Priority Movers,,,,Medium,True
NVDA,AI Compute & Core Semiconductors,,,,Medium,True
AMD,AI Compute & Core Semiconductors,,,,Medium,True
AVGO,AI Compute & Core Semiconductors,,,,Medium,True
MRVL,AI Compute & Core Semiconductors,AI networking + custom silicon,AI capex,Earnings / AI data-center commentary,High,True
QCOM,AI Compute & Core Semiconductors,,,,Medium,True
INTC,AI Compute & Core Semiconductors,,,,Medium,True
TSM,AI Compute & Core Semiconductors,,,,Medium,True
STM,AI Compute & Core Semiconductors,,,,Medium,True
TXN,AI Compute & Core Semiconductors,,,,Medium,True
MU,"AI Memory, Storage & Data Throughput",,,,Medium,True
DRAM,"AI Memory, Storage & Data Throughput",,,,Medium,True
WDC,"AI Memory, Storage & Data Throughput",,,,Medium,True
STX,"AI Memory, Storage & Data Throughput",,,,Medium,True
SNDK,"AI Memory, Storage & Data Throughput",,,,Medium,True
KIOXIA,"AI Memory, Storage & Data Throughput",,,,Medium,True
SIMO,"AI Memory, Storage & Data Throughput",,,,Medium,True
ACMR,"Semiconductor Equipment, Test, Packaging & Fab Support",,,,Medium,True
AEHR,"Semiconductor Equipment, Test, Packaging & Fab Support",,,,Medium,True
COHU,"Semiconductor Equipment, Test, Packaging & Fab Support",,,,Medium,True
